67,19,14,11
91,59,41,24
64,21,13,11
46,54,42,6
52,11,7,7
61,60,12,11
67,15,10,9
57,88,10,14
18,1,1,2
45,43,31,7
60,9,2,1
87,90,30,10
64,7,5,4
58,85,5,5
48,10,6,5
56,59,32,10
52,9,4,4
24,34,5,5
30,3,2,2
50,66,28,24
26,4,1,2
32,47,7,11
47,12,7,5
75,96,70,16
76,14,12,10
61,63,19,10
85,13,11,10
50,57,18,7
25,3,2,2
24,26,22,8
28,1,1,1
72,81,30,6
26,7,5,5
31,39,6,9
35,2,1,2
21,27,15,10
23,1,1,1
47,52,5,7
86,17,13,11
56,46,22,10
95,26,19,17
40,43,19,10
60,10,5,4
43,59,26,12
58,3,1,2
44,45,25,8
18,3,2,3
99,102,56,20
47,5,1,2
72,70,31,13
45,13,8,8
51,41,33,22
93,12,9,9
25,43,4,9
76,14,9,8
25,26,13,13
73,13,5,5
27,28,17,6
61,4,2,3
87,71,13,18
33,8,5,4
95,86,52,4
36,8,5,4
43,31,18,12
23,3,1,2
76,64,26,21
68,24,16,14
40,64,11,11
46,5,4,3
35,47,15,8
21,3,2,2
47,63,30,8
48,6,2,2
26,18,6,9
20,3,1,1
49,50,17,17
33,5,2,2
74,54,19,13
73,8,3,3
35,53,4,5
89,20,13,11
25,32,16,6
63,22,16,13
22,32,14,9
60,23,14,11
62,60,14,10
50,6,4,4
48,54,31,8
58,15,11,10
37,37,11,6
53,12,8,8
49,38,5,10
76,14,4,4
77,93,44,23
54,10,8,7
68,65,63,13
32,6,3,3
68,96,53,30
66,8,4,3
42,48,14,6
31,4,2,1
34,32,28,12
40,13,8,7
54,67,7,10
41,2,2,2
24,27,14,10
23,2,1,1
58,89,7,7
27,1,1,2
45,45,29,9
34,4,1,1
22,28,13,8
35,5,3,3
44,62,8,6
68,18,12,11
62,110,16,15
25,7,5,5
47,56,32,18
27,1,1,2
54,61,29,6
22,2,2,1
27,35,17,4
37,5,3,2
26,26,24,8
47,6,3,3
44,56,12,10
51,10,5,4
56,51,7,11
43,5,2,2
41,30,18,6
27,2,2,3
58,80,8,8
36,6,4,4
87,54,20,20
84,22,12,10
